,bboxData_x,bboxData_y,imgPath,categories,distance,areaSize,areaSizeDiff,imgRatioDiff,numberOfPerson,numberOfTree,numberOfHouse
37,267.717,458.667,/workspace/namu2/data/segmentation_data/5/5-1-1/15470.jpg,person,257.7707678,529842,459912.7734,0.622994803,1,0,0
38,313.182,447.426,/workspace/namu2/data/segmentation_data/5/5-1-1/15853.jpg,person,280.2953824,446310,376380.7734,0.563823738,1,0,0
39,255.3625,368.49,/workspace/namu2/data/segmentation_data/5/5-1-1/15990.jpg,person,185.044467,336661,266731.7734,0.629562345,1,0,0
40,82.3935,226.8525,/workspace/namu2/data/segmentation_data/5/5-1-1/16587.jpg,person,39.08482693,39039,30890.22656,0.698029557,1,0,0
41,192.5,484.617,/workspace/namu2/data/segmentation_data/5/5-1-1/16589.jpg,person,243.5883432,516975,447045.7734,0.748899234,1,0,0
42,295.855,595.566,/workspace/namu2/data/segmentation_data/5/5-1-1/16658.jpg,person,387.8586307,459309,389379.7734,0.680093822,1,0,0
43,325.7115,518.65,/workspace/namu2/data/segmentation_data/5/5-1-1/16776.jpg,person,340.8744181,209854,139924.7734,0.670824623,1,0,0
44,301.421,1287.3645,/workspace/namu2/data/segmentation_data/5/5-1-1/17906.jpg,person,1049.271585,661500,591570.7734,0.909401933,1,0,0
45,272.118,495.504,/workspace/namu2/data/segmentation_data/5/5-1-1/18158.jpg,person,290.0964423,121392,51462.77344,0.643082368,1,0,0
46,365.682,584.932,/workspace/namu2/data/segmentation_data/5/5-1-1/18228.jpg,person,417.5812301,36076,33853.22656,0.687474523,1,0,0
47,1000.3905,295.6805,/workspace/namu2/data/segmentation_data/5/5-1-1/18388.jpg,person,892.8308474,554449,484519.7734,0.414446715,1,0,0
48,281.888,678.3735,/workspace/namu2/data/segmentation_data/5/5-1-1/18555.jpg,person,456.6069449,564850,494920.7734,0.687960467,1,0,0
49,240.366,557.8395,/workspace/namu2/data/segmentation_data/5/5-1-1/18651.jpg,person,329.4177197,40338,29591.22656,0.676911382,1,0,0
50,284.76,489.489,/workspace/namu2/data/segmentation_data/5/5-1-1/19196.jpg,person,292.5901403,292758,222828.7734,0.682938942,1,0,0
51,224.46,607.746,/workspace/namu2/data/segmentation_data/5/5-1-1/19446.jpg,person,370.3934111,142713,72783.77344,0.692496959,1,0,0
52,211.008,442.9975,/workspace/namu2/data/segmentation_data/5/5-1-1/19468.jpg,person,213.2860583,337428,267498.7734,0.682267824,1,0,0
53,309.081,502.2745,/workspace/namu2/data/segmentation_data/5/5-1-1/20069.jpg,person,317.6652029,223917,153987.7734,0.666273887,1,0,0
54,266.3895,702.9885,/workspace/namu2/data/segmentation_data/5/5-1-1/20269.jpg,person,474.0818139,110716,40786.77344,0.703165953,1,0,0
55,278.196,585.514,/workspace/namu2/data/segmentation_data/5/5-1-1/20277.jpg,person,370.6768843,431879,361949.7734,0.668391858,1,0,0
56,250.482,554.606,/workspace/namu2/data/segmentation_data/5/5-1-1/20537.jpg,person,330.6748469,449904,379974.7734,0.631054289,1,0,0
57,315.592,587.502,/workspace/namu2/data/segmentation_data/5/5-1-1/20964.jpg,person,390.9094146,419406,349476.7734,0.631054289,1,0,0
58,297.92,1007.37,/workspace/namu2/data/segmentation_data/5/5-1-1/21483.jpg,person,774.9008462,494158,424228.7734,0.817785918,1,0,0
59,244.983,264.607,/workspace/namu2/data/segmentation_data/5/5-1-1/21574.jpg,person,136.8123039,394387,324457.7734,0.338043337,1,0,0
60,313.636,590.933,/workspace/namu2/data/segmentation_data/5/5-1-1/21795.jpg,person,392.7979411,111320,41390.77344,0.659892689,1,0,0
61,314.712,642.9555,/workspace/namu2/data/segmentation_data/5/5-1-1/22601.jpg,person,438.5068706,76653,6723.773438,0.648917749,1,0,0
62,284.868,503.624,/workspace/namu2/data/segmentation_data/5/5-1-1/23114.jpg,person,304.0523905,288150,218220.7734,0.558393866,1,0,0
63,192.444,364.952,/workspace/namu2/data/segmentation_data/5/5-1-1/23141.jpg,person,137.5814863,382280,312350.7734,0.722055138,1,0,0
64,177.4955,481.541,/workspace/namu2/data/segmentation_data/5/5-1-1/23317.jpg,person,235.8832015,185840,115910.7734,0.686574223,1,0,0
65,309.613,719.043,/workspace/namu2/data/segmentation_data/5/5-1-1/23605.jpg,person,504.8626299,89780,19850.77344,0.671348763,2,0,0
66,403.1025,931.158,/workspace/namu2/data/segmentation_data/5/5-1-1/23605.jpg,person,736.6643323,218700,148770.7734,0.671348763,2,0,0
67,156.006,673.0145,/workspace/namu2/data/segmentation_data/5/5-1-1/24105.jpg,person,419.7265888,119070,49140.77344,0.72704993,1,0,0
68,183.457,735.534,/workspace/namu2/data/segmentation_data/5/5-1-1/24303.jpg,person,485.3742131,10200,59729.22656,0.631054289,1,0,0
69,176.026,278.7165,/workspace/namu2/data/segmentation_data/5/5-1-1/24380.jpg,person,71.30208079,62292,7637.226563,0.569445989,1,0,0
70,285.718,420.966,/workspace/namu2/data/segmentation_data/5/5-1-1/24716.jpg,person,242.1636843,579,69350.22656,0.631054289,1,0,0
71,251.629,539.648,/workspace/namu2/data/segmentation_data/5/5-1-1/24990.jpg,person,317.7473881,38363,31566.22656,0.672088914,1,0,0
72,259.1205,385.37,/workspace/namu2/data/segmentation_data/5/5-1-1/25077.jpg,person,198.6018892,31504,38425.22656,0.589816342,1,0,0
73,285.335,539.7,/workspace/namu2/data/segmentation_data/5/5-1-1/25163.jpg,person,334.3374141,558096,488166.7734,0.631054289,1,0,0
74,235.586,325.8755,/workspace/namu2/data/segmentation_data/5/5-1-1/25202.jpg,person,145.0837586,255905,185975.7734,0.69267177,1,0,0
75,277.714,498.456,/workspace/namu2/data/segmentation_data/5/5-1-1/25229.jpg,person,295.7057926,21255,48674.22656,0.671733112,1,0,0
76,551.522,305.634,/workspace/namu2/data/segmentation_data/5/5-1-1/25240.jpg,person,445.8520481,7953,61976.22656,0.034153923,1,0,0
77,144.752,452.1825,/workspace/namu2/data/segmentation_data/5/5-1-1/25327.jpg,person,199.5225994,2934,66995.22656,0.673544974,1,0,0
78,294.93,252.616,/workspace/namu2/data/segmentation_data/5/5-1-1/25341.jpg,person,186.5183166,304666,234736.7734,0.057875458,1,0,0
79,159.866,167.778,/workspace/namu2/data/segmentation_data/5/5-1-1/25370.jpg,person,102.1079995,4218,65711.22656,0.634210002,1,0,0
80,273.96,534.538,/workspace/namu2/data/segmentation_data/5/5-1-1/25415.jpg,person,324.0126963,40339,29590.22656,0.629302509,1,0,0
81,155.558,715.377,/workspace/namu2/data/segmentation_data/5/5-1-1/25449.jpg,person,461.7952353,10373,59556.22656,0.614849253,1,0,0
82,205.1245,575.622,/workspace/namu2/data/segmentation_data/5/5-1-1/25458.jpg,person,333.9327061,146744,76814.77344,0.66724259,1,0,0
83,167.9135,515,/workspace/namu2/data/segmentation_data/5/5-1-1/25539.jpg,person,265.7483432,35752,34177.22656,0.722792418,1,0,0
84,207.519,436.88,/workspace/namu2/data/segmentation_data/5/5-1-1/25756.jpg,person,206.2445599,19966,49963.22656,0.605260244,1,0,0
85,179.85,568.75,/workspace/namu2/data/segmentation_data/5/5-1-1/25788.jpg,person,320.8066159,10633,59296.22656,0.657509158,1,0,0
86,162.207,446.49,/workspace/namu2/data/segmentation_data/5/5-1-1/25825.jpg,person,197.9401169,224598,154668.7734,0.707676064,1,0,0
87,631.547,286.867,/workspace/namu2/data/segmentation_data/5/5-1-1/25929.jpg,person,524.0151609,10864,59065.22656,0.042869576,1,0,0
88,287.385,495.67,/workspace/namu2/data/segmentation_data/5/5-1-1/25948.jpg,person,299.1090917,389912,319982.7734,0.657012394,1,0,0
89,191.5785,365.937,/workspace/namu2/data/segmentation_data/5/5-1-1/26038.jpg,person,137.839144,345267,275337.7734,0.652861051,1,0,0
90,329.692,701.1,/workspace/namu2/data/segmentation_data/5/5-1-1/26065.jpg,person,497.0643276,15870,54059.22656,0.693032581,1,0,0
91,301.444,595.726,/workspace/namu2/data/segmentation_data/5/5-1-1/26143.jpg,person,390.72899,225848,155918.7734,0.648564017,1,0,0
92,167.968,505.926,/workspace/namu2/data/segmentation_data/5/5-1-1/26252.jpg,person,256.9251259,18012,51917.22656,0.631334509,1,0,0
93,138.944,555.2435,/workspace/namu2/data/segmentation_data/5/5-1-1/26285.jpg,person,300.8023541,30415,39514.22656,0.647728099,1,0,0
94,253.233,459.3105,/workspace/namu2/data/segmentation_data/5/5-1-1/26381.jpg,person,249.6055705,356976,287046.7734,0.718576509,1,0,0
95,426.423,204.204,/workspace/namu2/data/segmentation_data/5/5-1-1/26583.jpg,person,322.170335,38560,31369.22656,0.012949795,1,0,0
96,591.703,124.215,/workspace/namu2/data/segmentation_data/5/5-1-1/26834.jpg,person,500.9052237,2388,67541.22656,0.129304029,1,0,0
97,109.51,475.8075,/workspace/namu2/data/segmentation_data/5/5-1-1/26856.jpg,person,219.8184912,257439,187509.7734,0.913429801,1,0,0
98,235.29,414.1115,/workspace/namu2/data/segmentation_data/5/5-1-1/26863.jpg,person,202.7122552,14532,55397.22656,0.44322194,1,0,0
99,232.824,257.397,/workspace/namu2/data/segmentation_data/5/5-1-1/27046.jpg,person,124.3897079,50464,19465.22656,0.46022409,1,0,0
100,239.058,426.558,/workspace/namu2/data/segmentation_data/5/5-1-1/27056.jpg,person,214.8333657,97614,27684.77344,0.685479014,1,0,0
101,498.405,246.257,/workspace/namu2/data/segmentation_data/5/5-1-1/27233.jpg,person,390.0842514,490980,421050.7734,0.142883093,1,0,0
102,265.3105,271.467,/workspace/namu2/data/segmentation_data/5/5-1-1/27267.jpg,person,157.629761,90780,20850.77344,0.721514217,1,0,0
103,186.4825,570.3225,/workspace/namu2/data/segmentation_data/5/5-1-1/27285.jpg,person,323.8737359,62592,7337.226563,0.686504378,1,0,0
104,283.845,516.078,/workspace/namu2/data/segmentation_data/5/5-1-1/27289.jpg,person,313.7053801,379936,310006.7734,0.633500418,1,0,0
105,256.413,470.115,/workspace/namu2/data/segmentation_data/5/5-1-1/27513.jpg,person,260.2771173,334110,264180.7734,0.622481277,1,0,0
106,200.392,487.487,/workspace/namu2/data/segmentation_data/5/5-1-1/27581.jpg,person,249.0880951,9815,60114.22656,0.681118608,1,0,0
107,114.6705,351.2,/workspace/namu2/data/segmentation_data/5/5-1-1/27637.jpg,person,95.41189833,183866,113936.7734,0.764940476,1,0,0
108,212.888,453.761,/workspace/namu2/data/segmentation_data/5/5-1-1/27952.jpg,person,223.6552106,242125,172195.7734,0.721206906,1,0,0
109,184.4115,454.77,/workspace/namu2/data/segmentation_data/5/5-1-1/28158.jpg,person,212.8008016,22842,47087.22656,0.69124424,1,0,0
110,234.695,484.642,/workspace/namu2/data/segmentation_data/5/5-1-1/28203.jpg,person,261.1910526,13865,56064.22656,0.650456842,1,0,0
111,732.45,427.045,/workspace/namu2/data/segmentation_data/5/5-1-1/28321.jpg,person,647.0277891,131460,61530.77344,0.034153923,1,0,0
112,255.392,491.7195,/workspace/namu2/data/segmentation_data/5/5-1-1/28377.jpg,person,277.7802661,25330,44599.22656,0.693791263,1,0,0
113,273.845,624.51,/workspace/namu2/data/segmentation_data/5/5-1-1/28721.jpg,person,403.9354965,144,69785.22656,0.631054289,1,0,0
114,394.107,639.93,/workspace/namu2/data/segmentation_data/5/5-1-1/28841.jpg,person,478.5530829,5760,64169.22656,0.631054289,1,0,0
115,233.046,551.9085,/workspace/namu2/data/segmentation_data/5/5-1-1/28960.jpg,person,321.0808457,273651,203721.7734,0.666513057,1,0,0
116,59.475,125.58,/workspace/namu2/data/segmentation_data/5/5-1-1/29064.jpg,person,139.3017436,52584,17345.22656,0.030434783,1,0,0
117,245.688,636.025,/workspace/namu2/data/segmentation_data/5/5-1-1/29280.jpg,person,404.0566599,195942,126012.7734,0.690753583,1,0,0
118,204.36,535.129,/workspace/namu2/data/segmentation_data/5/5-1-1/29350.jpg,person,295.1574244,175158,105228.7734,0.677896233,1,0,0
119,289.548,491.384,/workspace/namu2/data/segmentation_data/5/5-1-1/29417.jpg,person,296.9997985,12423,57506.22656,0.631054289,1,0,0
120,234.552,696.24,/workspace/namu2/data/segmentation_data/5/5-1-1/29454.jpg,person,457.9545015,5103,64826.22656,0.679189442,1,0,0
121,203.2275,579.36,/workspace/namu2/data/segmentation_data/5/5-1-1/29697.jpg,person,336.9738385,68495,1434.226563,0.655602241,1,0,0
122,201.6125,333.3225,/workspace/namu2/data/segmentation_data/5/5-1-1/29947.jpg,person,121.0816529,312,69617.22656,0.676080223,1,0,0
123,285.008,540.512,/workspace/namu2/data/segmentation_data/5/5-1-2/11423.jpg,person,334.8541882,4264,65665.22656,0.636032996,1,0,0
124,243.3815,351.556,/workspace/namu2/data/segmentation_data/5/5-1-2/11974.jpg,person,165.3516262,656,69273.22656,0.686781108,1,0,0
125,291.465,542.7015,/workspace/namu2/data/segmentation_data/5/5-1-2/12280.jpg,person,340.1468789,448224,378294.7734,0.62838989,1,0,0
126,271.547,731.973,/workspace/namu2/data/segmentation_data/5/5-1-2/12327.jpg,person,503.1515244,248400,178470.7734,0.668242232,1,0,0
127,256.993,586.474,/workspace/namu2/data/segmentation_data/5/5-1-2/12384.jpg,person,362.3340255,449498,379568.7734,0.631054289,1,0,0
128,336.6,681.122,/workspace/namu2/data/segmentation_data/5/5-1-2/12480.jpg,person,482.4850489,356748,286818.7734,0.719474058,1,0,0
129,258.479,828.6225,/workspace/namu2/data/segmentation_data/5/5-1-2/12526.jpg,person,591.9604522,133341,63411.77344,0.702792759,1,0,0
130,215.496,148.149,/workspace/namu2/data/segmentation_data/5/5-1-2/13151.jpg,person,151.9557046,11424,58505.22656,0.013640032,1,0,0
131,324.401,621.426,/workspace/namu2/data/segmentation_data/5/5-1-2/13196.jpg,person,424.4767234,315288,245358.7734,0.631054289,1,0,0
132,249.6365,438.8865,/workspace/namu2/data/segmentation_data/5/5-1-2/13273.jpg,person,231.0548962,337960,268030.7734,0.657999099,2,0,0
133,53.957,674.7345,/workspace/namu2/data/segmentation_data/5/5-1-2/13273.jpg,person,422.2727258,23700,46229.22656,0.657999099,2,0,0
134,118.2645,256.902,/workspace/namu2/data/segmentation_data/5/5-1-2/13303.jpg,person,9.864369193,130950,61020.77344,0.672568083,1,0,0
135,210.2085,547.947,/workspace/namu2/data/segmentation_data/5/5-1-2/13485.jpg,person,309.1833238,21156,48773.22656,0.673179054,1,0,0
136,242.262,621.3495,/workspace/namu2/data/segmentation_data/5/5-1-2/13532.jpg,person,389.0939782,411513,341583.7734,0.626916517,1,0,0
137,546.129,193.328,/workspace/namu2/data/segmentation_data/5/5-1-2/13545.jpg,person,442.1497871,18288,51641.22656,0.102007198,1,0,0
138,297.974,405.546,/workspace/namu2/data/segmentation_data/5/5-1-2/13546.jpg,person,241.4307543,12870,57059.22656,0.631054289,1,0,0
139,294.525,670.5765,/workspace/namu2/data/segmentation_data/5/5-1-2/13579.jpg,person,454.4308904,175824,105894.7734,0.623502304,1,0,0
140,237.3285,822.624,/workspace/namu2/data/segmentation_data/5/5-1-2/13640.jpg,person,581.1057945,18816,51113.22656,0.667857143,1,0,0
141,213.3775,473.34,/workspace/namu2/data/segmentation_data/5/5-1-2/13657.jpg,person,241.3539653,550732,480802.7734,0.667080745,1,0,0
142,195.584,671.6535,/workspace/namu2/data/segmentation_data/5/5-1-2/13721.jpg,person,424.6981294,47775,22154.22656,0.814838529,1,0,0
143,308.484,395.306,/workspace/namu2/data/segmentation_data/5/5-1-2/13728.jpg,person,243.7728667,80370,10440.77344,0.434231589,1,0,0
144,241.67,695.9625,/workspace/namu2/data/segmentation_data/5/5-1-2/13802.jpg,person,459.6999339,31787,38142.22656,0.66474769,1,0,0
145,319.805,507.832,/workspace/namu2/data/segmentation_data/5/5-1-2/13872.jpg,person,328.7823076,163660,93730.77344,0.631054289,1,0,0
146,266.8075,468.696,/workspace/namu2/data/segmentation_data/5/5-1-2/14034.jpg,person,265.1843115,189409,119479.7734,0.686361675,1,0,0
147,161.12,444.21,/workspace/namu2/data/segmentation_data/5/5-1-2/14037.jpg,person,195.451049,351956,282026.7734,0.619971571,1,0,0
148,193.11,341.1,/workspace/namu2/data/segmentation_data/5/5-1-2/14061.jpg,person,120.0502827,40820,29109.22656,0.692857143,1,0,0
149,338.36,617.906,/workspace/namu2/data/segmentation_data/5/5-1-2/14086.jpg,person,428.7705815,376762,306832.7734,0.638186637,1,0,0
150,195.0705,445.096,/workspace/namu2/data/segmentation_data/5/5-1-2/14154.jpg,person,208.0022359,109098,39168.77344,0.690082311,1,0,0
151,486.03,288.414,/workspace/namu2/data/segmentation_data/5/5-1-2/14277.jpg,person,378.9772219,30488,39441.22656,0.026984127,1,0,0
152,301.125,627.159,/workspace/namu2/data/segmentation_data/5/5-1-2/14293.jpg,person,418.2007729,336096,266166.7734,0.769884898,1,0,0
153,334.4985,750.885,/workspace/namu2/data/segmentation_data/5/5-1-2/14303.jpg,person,544.0780382,18840,51089.22656,0.791540363,1,0,0
154,327.848,579.278,/workspace/namu2/data/segmentation_data/5/5-1-2/14334.jpg,person,390.7083135,65912,4017.226563,0.631054289,1,0,0
155,181.114,562.419,/workspace/namu2/data/segmentation_data/5/5-1-2/14417.jpg,person,314.9268741,8601,61328.22656,0.639289696,1,0,0
156,299.15,362.262,/workspace/namu2/data/segmentation_data/5/5-1-2/14446.jpg,person,218.3182319,40144,29785.22656,0.629562345,1,0,0
157,234.72,643.467,/workspace/namu2/data/segmentation_data/5/5-1-2/14527.jpg,person,407.5331382,1972,67957.22656,0.672378159,1,0,0
158,162.9145,442.7085,/workspace/namu2/data/segmentation_data/5/5-1-2/14987.jpg,person,194.5004575,411757,341827.7734,0.708451998,1,0,0
159,106.338,265.456,/workspace/namu2/data/segmentation_data/5/5-1-2/15079.jpg,person,9.695494681,50482,19447.22656,0.747295292,1,0,0
160,485.674,221.4765,/workspace/namu2/data/segmentation_data/5/5-1-2/15239.jpg,person,378.80747,174628,104698.7734,0.35095439,1,0,0
161,146.688,259.808,/workspace/namu2/data/segmentation_data/5/5-1-2/15440.jpg,person,38.43570851,3267,66662.22656,0.680538302,1,0,0
162,210.46,534.6395,/workspace/namu2/data/segmentation_data/5/5-1-2/15478.jpg,person,296.7360376,185090,115160.7734,0.644220616,1,0,0
163,231.308,588.9845,/workspace/namu2/data/segmentation_data/5/5-1-2/15691.jpg,person,354.9369902,2581,67348.22656,0.644934391,1,0,0
164,202.607,539.7,/workspace/namu2/data/segmentation_data/5/5-1-2/15728.jpg,person,298.9271794,134016,64086.77344,0.631054289,1,0,0
165,265.335,766.7935,/workspace/namu2/data/segmentation_data/5/5-1-2/15821.jpg,person,534.3537401,20727,49202.22656,0.656349998,1,0,0
166,276.024,537.37,/workspace/namu2/data/segmentation_data/5/5-1-2/15862.jpg,person,327.5018349,434485,364555.7734,0.621626582,1,0,0
167,225.63,275.1375,/workspace/namu2/data/segmentation_data/5/5-1-2/15893.jpg,person,118.7414774,41448,28481.22656,0.655187341,1,0,0
168,211.926,107.1845,/workspace/namu2/data/segmentation_data/5/5-1-2/16124.jpg,person,181.2524316,243538,173608.7734,0.021978813,1,0,0
169,142.546,305.523,/workspace/namu2/data/segmentation_data/5/5-1-2/16420.jpg,person,60.13673075,173030,103100.7734,0.650621534,1,0,0
170,207.832,504.866,/workspace/namu2/data/segmentation_data/5/5-1-2/16639.jpg,person,267.9865518,992,68937.22656,0.683079829,1,0,0
171,197.1075,504.0075,/workspace/namu2/data/segmentation_data/5/5-1-2/16730.jpg,person,263.3883357,600588,530658.7734,0.737107724,1,0,0
172,278.992,616.8,/workspace/namu2/data/segmentation_data/5/5-1-2/16754.jpg,person,399.0863609,528,69401.22656,0.654400593,1,0,0
173,339.786,711.401,/workspace/namu2/data/segmentation_data/5/5-1-2/16771.jpg,person,510.8009972,490916,420986.7734,0.748961951,1,0,0
174,180.44,360.6875,/workspace/namu2/data/segmentation_data/5/5-1-2/16773.jpg,person,127.062621,60320,9609.226563,0.678703039,1,0,0
175,232.903,345.561,/workspace/namu2/data/segmentation_data/5/5-1-2/16781.jpg,person,153.340014,4212,65717.22656,0.697264035,1,0,0
176,299.506,423.536,/workspace/namu2/data/segmentation_data/5/5-1-2/16822.jpg,person,254.1190446,39259,30670.22656,0.631054289,1,0,0
177,213.528,424.1205,/workspace/namu2/data/segmentation_data/5/5-1-2/16835.jpg,person,198.2683661,427344,357414.7734,0.669350085,1,0,0
178,356.788,1001.169,/workspace/namu2/data/segmentation_data/5/5-1-2/18354.jpg,person,785.4711802,64938,4991.226563,0.692827328,1,0,0
179,155.7875,511.556,/workspace/namu2/data/segmentation_data/5/5-1-2/18556.jpg,person,259.912939,412300,342370.7734,0.775396037,1,0,0
180,157.488,312.0255,/workspace/namu2/data/segmentation_data/5/5-1-2/19183.jpg,person,74.46667105,116472,46542.77344,0.681426747,1,0,0
181,233.2425,546.244,/workspace/namu2/data/segmentation_data/5/5-1-2/19251.jpg,person,315.9455039,243190,173260.7734,0.685521105,1,0,0
182,217.634,507.7475,/workspace/namu2/data/segmentation_data/5/5-1-2/19422.jpg,person,274.4155141,49796,20133.22656,0.623198093,1,0,0
183,243.971,963.2115,/workspace/namu2/data/segmentation_data/5/5-1-2/20586.jpg,person,720.0889049,759532,689602.7734,0.819908704,1,0,0
184,132.006,301.245,/workspace/namu2/data/segmentation_data/5/5-1-2/20671.jpg,person,51.02079177,27999,41930.22656,0.701002506,1,0,0
185,135.625,407.575,/workspace/namu2/data/segmentation_data/5/5-1-2/21091.jpg,person,154.0013941,163135,93205.77344,0.640896359,1,0,0
186,321.564,789.804,/workspace/namu2/data/segmentation_data/5/5-1-2/21325.jpg,person,574.7839283,186,69743.22656,0.779946345,1,0,0
187,186.543,355.74,/workspace/namu2/data/segmentation_data/5/5-1-2/21478.jpg,person,126.6865142,261288,191358.7734,0.706768989,1,0,0
188,185.3655,529.21,/workspace/namu2/data/segmentation_data/5/5-1-2/21688.jpg,person,283.8405928,492,69437.22656,0.684211867,1,0,0
189,227.0775,376.65,/workspace/namu2/data/segmentation_data/5/5-1-2/22192.jpg,person,169.2122214,170478,100548.7734,0.66328725,1,0,0
190,330.7535,403.795,/workspace/namu2/data/segmentation_data/5/5-1-2/23154.jpg,person,266.9609418,284690,214760.7734,0.573518328,1,0,0
